"","accession","genus","species","seqlength","latitude","longitude","genetype","dnasource","taxa","vertebrate"
"6430","GQ272094","Anas","flavirostris flavirostris","1587",-34.8875,-61.3642,"genomic DNA",NA,"Aves","Vertebrata"
"6431","GQ271984","Anas","cyanoptera orinomus","1584",-16.32928,-68.75429,"genomic DNA",NA,"Aves","Vertebrata"
"6432","GQ272028","Anas","puna","1587",-18.025,-67.1419,"genomic DNA",NA,"Aves","Vertebrata"
"6433","GQ272051","Anas","puna","1587",-13.4341,-72.1304,"genomic DNA",NA,"Aves","Vertebrata"
"6434","GQ272175","Anas","flavirostris oxyptera","1587",-13.3216,-74.3524,"genomic DNA",NA,"Aves","Vertebrata"
"6435","GQ272029","Anas","puna","1587",-18.0342,-67.1461,"genomic DNA",NA,"Aves","Vertebrata"
"6436","GQ272176","Anas","flavirostris oxyptera","1587",-13.3311,-74.3466,"genomic DNA",NA,"Aves","Vertebrata"
"6437","GQ272177","Anas","flavirostris oxyptera","1587",-13.3311,-74.3466,"genomic DNA",NA,"Aves","Vertebrata"
"6438","GQ272200","Anas","flavirostris oxyptera","1587",-16.13957,-68.35377,"genomic DNA",NA,"Aves","Vertebrata"
"6439","GQ272201","Anas","flavirostris oxyptera","1587",-10.38028,-76.26806,"genomic DNA",NA,"Aves","Vertebrata"
"6440","GQ272202","Anas","flavirostris oxyptera","1587",-10.38028,-76.26806,"genomic DNA",NA,"Aves","Vertebrata"
"6441","GQ272203","Dendrocygna","viduata","1593",-28.1275,-57.905,"genomic DNA",NA,"Aves","Vertebrata"
"6442","GQ272210","Cygnus","melancoryphus","1593",-41.28222,-69.96028,"genomic DNA",NA,"Aves","Vertebrata"
"6443","GQ272211","Cygnus","melancoryphus","1593",-41.28222,-69.96028,"genomic DNA",NA,"Aves","Vertebrata"
"6444","GQ272295","Anas","discors","1587",-11.7374,-75.4924,"genomic DNA",NA,"Aves","Vertebrata"
"6445","GQ272296","Anas","discors","1587",-11.7374,-75.4924,"genomic DNA",NA,"Aves","Vertebrata"
"6446","GQ272297","Anas","discors","1587",-10.1197,-77.2835,"genomic DNA",NA,"Aves","Vertebrata"
"6447","GQ272305","Mareca","sibilatrix","1587",-40.0825,-64.5903,"genomic DNA",NA,"Aves","Vertebrata"
"6448","GQ272306","Mareca","sibilatrix","581",-27.55882,-68.14495,"genomic DNA",NA,"Aves","Vertebrata"
"6449","GQ272307","Mareca","sibilatrix","757",-27.55882,-68.14495,"genomic DNA",NA,"Aves","Vertebrata"
"6450","GQ272308","Mareca","sibilatrix","1587",-27.55882,-68.14495,"genomic DNA",NA,"Aves","Vertebrata"
"6451","GQ272231","Nomonyx","dominica","1577",-29.6672,-59.3625,"genomic DNA",NA,"Aves","Vertebrata"
"6452","GQ272309","Mareca","sibilatrix","1587",-37.33838,-69.98023,"genomic DNA",NA,"Aves","Vertebrata"
"6453","GQ272313","Anas","bahamensis","1587",-30.8297,-62.89,"genomic DNA",NA,"Aves","Vertebrata"
"6454","GQ272314","Anas","bahamensis","1587",-30.8297,-62.89,"genomic DNA",NA,"Aves","Vertebrata"
"6455","GQ272315","Anas","bahamensis","1587",-13.2449,-75.0721,"genomic DNA",NA,"Aves","Vertebrata"
"6456","GQ272316","Anas","bahamensis","1587",-17.8798,-71.0183,"genomic DNA",NA,"Aves","Vertebrata"
"6457","GQ272241","Callonetta","leucophrys","1587",-29.7525,-59.125,"genomic DNA",NA,"Aves","Vertebrata"
"6458","GQ272317","Anas","bahamensis","1587",-17.8798,-71.0183,"genomic DNA",NA,"Aves","Vertebrata"
"6459","GQ272242","Netta","peposaca","1587",-33.2114,-63.5706,"genomic DNA",NA,"Aves","Vertebrata"
"6460","GQ272320","Anas","flavirostris andium","1587",0.34194,-78.19483,"genomic DNA",NA,"Aves","Vertebrata"
"6461","GQ272178","Anas","flavirostris oxyptera","1587",-14.5853,-73.9092,"genomic DNA",NA,"Aves","Vertebrata"
"6462","GQ272179","Anas","flavirostris oxyptera","1587",-13.4241,-72.0326,"genomic DNA",NA,"Aves","Vertebrata"
"6463","GQ272180","Anas","flavirostris oxyptera","1587",-15.9849,-69.6068,"genomic DNA",NA,"Aves","Vertebrata"
"6464","GQ272181","Anas","flavirostris oxyptera","1587",-15.7237,-70.1549,"genomic DNA",NA,"Aves","Vertebrata"
"6465","GQ272182","Anas","flavirostris oxyptera","1587",-15.7237,-70.1549,"genomic DNA",NA,"Aves","Vertebrata"
"6466","GQ272183","Anas","flavirostris oxyptera","1587",-27.04428,-66.78063,"genomic DNA",NA,"Aves","Vertebrata"
"6467","GQ272184","Anas","flavirostris oxyptera","1587",-27.04428,-66.78063,"genomic DNA",NA,"Aves","Vertebrata"
"6468","GQ272185","Anas","flavirostris oxyptera","1587",-25.82775,-67.28391,"genomic DNA",NA,"Aves","Vertebrata"
"6469","GQ272186","Anas","flavirostris oxyptera","1587",-27.78961,-68.07358,"genomic DNA",NA,"Aves","Vertebrata"
"6470","GQ272187","Anas","flavirostris oxyptera","1587",-26.92542,-68.14566,"genomic DNA",NA,"Aves","Vertebrata"
"6471","GQ272188","Anas","flavirostris oxyptera","1587",-27.78964,-68.07765,"genomic DNA",NA,"Aves","Vertebrata"
"6472","GQ272189","Anas","flavirostris oxyptera","1587",-26.92542,-68.14566,"genomic DNA",NA,"Aves","Vertebrata"
"6473","GQ272190","Anas","flavirostris oxyptera","1587",-27.78961,-68.07358,"genomic DNA",NA,"Aves","Vertebrata"
"6474","GQ272191","Anas","flavirostris oxyptera","1587",-27.7898,-68.07723,"genomic DNA",NA,"Aves","Vertebrata"
"6475","GQ272192","Anas","flavirostris oxyptera","1587",-16.23489,-68.59975,"genomic DNA",NA,"Aves","Vertebrata"
"6476","GQ272277","Speculanas","specularis","1586",-39.9161,-71.0717,"genomic DNA",NA,"Aves","Vertebrata"
"6477","GQ272193","Anas","flavirostris oxyptera","1587",-16.23489,-68.59975,"genomic DNA",NA,"Aves","Vertebrata"
"6478","GQ272278","Speculanas","specularis","1586",-39.9161,-71.0717,"genomic DNA",NA,"Aves","Vertebrata"
"6479","GQ272194","Anas","flavirostris oxyptera","1587",-16.23489,-68.59975,"genomic DNA",NA,"Aves","Vertebrata"
"6480","GQ272279","Amazonetta","brasiliensis","1587",-30.83,-62.8903,"genomic DNA",NA,"Aves","Vertebrata"
"6481","GQ272195","Anas","flavirostris oxyptera","1587",-16.23489,-68.59975,"genomic DNA",NA,"Aves","Vertebrata"
"6482","GQ272280","Amazonetta","brasiliensis","1587",-24.5503,-65.3708,"genomic DNA",NA,"Aves","Vertebrata"
"6483","GQ272281","Anas","platalea","1587",-33.2006,-63.6289,"genomic DNA",NA,"Aves","Vertebrata"
"6484","GQ272196","Anas","flavirostris oxyptera","1587",-16.23489,-68.59975,"genomic DNA",NA,"Aves","Vertebrata"
"6485","GQ272282","Anas","platalea","1587",-33.1747,-63.7242,"genomic DNA",NA,"Aves","Vertebrata"
"6486","GQ272197","Anas","flavirostris oxyptera","1587",-16.23489,-68.59975,"genomic DNA",NA,"Aves","Vertebrata"
"6487","GQ272198","Anas","flavirostris oxyptera","1587",-16.23489,-68.59975,"genomic DNA",NA,"Aves","Vertebrata"
"6488","GQ272199","Anas","flavirostris oxyptera","1587",-16.23489,-68.59975,"genomic DNA",NA,"Aves","Vertebrata"
"6489","KC109008","Chloephaga","poliocephala","665",-38.81027,-70.97252,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6490","KC109009","Chloephaga","poliocephala","665",-38.96214,-71.34851,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6491","KC109071","Chloephaga","melanoptera","665",-9.6852,-77.0558,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6492","KC109072","Chloephaga","melanoptera","665",-13.2424,-75.256,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6493","KC109073","Chloephaga","melanoptera","665",-16.8707,-70.6018,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6494","KC109074","Chloephaga","melanoptera","665",-16.12941,-68.35228,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6495","KC109075","Chloephaga","melanoptera","664",-16.10021,-68.33703,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6496","KC109076","Chloephaga","melanoptera","665",-16.08057,-68.31933,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6497","KC109077","Chloephaga","melanoptera","636",-17.8886,-67.3069,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6498","KC109078","Chloephaga","melanoptera","636",-25.82775,-67.28391,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6499","KC109079","Chloephaga","melanoptera","665",-27.79033,-68.06749,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6500","KC109080","Chloephaga","melanoptera","665",-27.02712,-68.06809,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6501","HM063506","Amazonetta","brasiliensis","1272",-24.5503,-65.3708,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6502","HM063507","Amazonetta","brasiliensis","1274",-28.7236,-58.9981,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6503","HM063508","Amazonetta","brasiliensis","1271",-28.7725,-59.0269,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6504","HM063509","Amazonetta","brasiliensis","1271",-28.8117,-59.0478,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6505","HM063510","Amazonetta","brasiliensis","1272",-28.8117,-59.0478,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6506","HM063511","Speculanas","specularis","1264",-39.9161,-71.0717,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6507","HM063512","Speculanas","specularis","1264",-39.9161,-71.0717,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6508","HM063504","Amazonetta","brasiliensis","1274",-30.83,-62.8903,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6509","HM063505","Amazonetta","brasiliensis","1271",-24.5503,-65.3708,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6510","HM125100","Cygnus","melancoryphus","1015",-41.28222,-69.96028,"genomic DNA",NA,"Aves","Vertebrata"
"6511","HM125101","Cygnus","melancoryphus","1015",-41.28222,-69.96028,"genomic DNA",NA,"Aves","Vertebrata"
"6512","HM125110","Chloephaga","melanoptera","1069",-17.8886,-67.3069,"genomic DNA",NA,"Aves","Vertebrata"
"6513","HM125111","Chloephaga","melanoptera","1069",-9.6852,-77.0558,"genomic DNA",NA,"Aves","Vertebrata"
"6514","HM125112","Chloephaga","melanoptera","1069",-9.6852,-77.0558,"genomic DNA",NA,"Aves","Vertebrata"
"6515","HM125113","Chloephaga","melanoptera","1069",-13.2424,-75.256,"genomic DNA",NA,"Aves","Vertebrata"
"6516","HM125114","Chloephaga","melanoptera","1069",-13.2401,-75.2601,"genomic DNA",NA,"Aves","Vertebrata"
"6517","HM125115","Chloephaga","melanoptera","1069",-16.9026,-70.3818,"genomic DNA",NA,"Aves","Vertebrata"
"6518","HM125116","Chloephaga","melanoptera","1069",-25.82775,-67.28391,"genomic DNA",NA,"Aves","Vertebrata"
"6519","HM125117","Chloephaga","melanoptera","1069",-25.82775,-67.28391,"genomic DNA",NA,"Aves","Vertebrata"
"6520","HM125118","Chloephaga","melanoptera","1069",-25.82775,-67.28391,"genomic DNA",NA,"Aves","Vertebrata"
"6521","HM125119","Chloephaga","melanoptera","1069",-27.79033,-68.06749,"genomic DNA",NA,"Aves","Vertebrata"
"6522","HM125120","Chloephaga","melanoptera","1069",-27.02712,-68.06809,"genomic DNA",NA,"Aves","Vertebrata"
"6523","HM125121","Chloephaga","melanoptera","1069",-16.13957,-68.35377,"genomic DNA",NA,"Aves","Vertebrata"
"6524","HM125122","Chloephaga","melanoptera","1069",-16.12941,-68.35228,"genomic DNA",NA,"Aves","Vertebrata"
"6525","HM125123","Chloephaga","melanoptera","1069",-16.12941,-68.35228,"genomic DNA",NA,"Aves","Vertebrata"
"6526","HM125124","Chloephaga","melanoptera","1069",-16.10021,-68.33703,"genomic DNA",NA,"Aves","Vertebrata"
"6527","HM125125","Chloephaga","melanoptera","1069",-16.10021,-68.33703,"genomic DNA",NA,"Aves","Vertebrata"
"6528","HM125126","Chloephaga","melanoptera","1069",-16.08057,-68.31933,"genomic DNA",NA,"Aves","Vertebrata"
"6529","HM125127","Chloephaga","melanoptera","1069",-16.08057,-68.31933,"genomic DNA",NA,"Aves","Vertebrata"
"6530","JQ175567","Nomonyx","dominica","652",2.2,-59.367,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6531","JX910953","Oxyura","ferruginea","1191",-10.42583,-76.14036,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6532","JX910977","Oxyura","ferruginea","396",-34.84246,-69.91787,"genomic DNA",NA,"Aves","Vertebrata"
"6533","JX910954","Oxyura","ferruginea","1191",-10.42583,-76.14036,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6534","JX910978","Oxyura","ferruginea","396",-34.84193,-69.91934,"genomic DNA",NA,"Aves","Vertebrata"
"6535","JX911027","Oxyura","ferruginea","308",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6536","JX910955","Oxyura","ferruginea","1191",-10.42583,-76.14036,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6537","JX910979","Oxyura","ferruginea","396",-16.3506,-68.63,"genomic DNA",NA,"Aves","Vertebrata"
"6538","JX910990","Oxyura","ferruginea","396",-16.1922,-68.81144,"genomic DNA",NA,"Aves","Vertebrata"
"6539","JX911028","Oxyura","ferruginea","308",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6540","JX910956","Oxyura","ferruginea","1191",-8.14127,-77.97715,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6541","JX910991","Oxyura","ferruginea","396",-16.1922,-68.81144,"genomic DNA",NA,"Aves","Vertebrata"
"6542","JX910980","Oxyura","ferruginea","396",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6543","JX911029","Oxyura","ferruginea","308",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6544","JX911122","Oxyura","ferruginea","316",-11.2041,-76.8915,"genomic DNA",NA,"Aves","Vertebrata"
"6545","JX910957","Oxyura","ferruginea","1191",-11.1904,-77.5899,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6546","JX910981","Oxyura","ferruginea","396",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6547","JX911017","Oxyura","ferruginea","308",-40.2125,-70.6494,"genomic DNA",NA,"Aves","Vertebrata"
"6548","JX911030","Oxyura","ferruginea","308",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6549","JX911156","Oxyura","ferruginea","676",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6550","JX911064","Oxyura","ferruginea","345",-40.2125,-70.6494,"genomic DNA",NA,"Aves","Vertebrata"
"6551","JX911191","Oxyura","ferruginea","1040",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6552","JX911074","Oxyura","ferruginea","345",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6553","JX911123","Oxyura","ferruginea","316",-11.1716,-77.5916,"genomic DNA",NA,"Aves","Vertebrata"
"6554","JX910982","Oxyura","ferruginea","396",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6555","JX911018","Oxyura","ferruginea","308",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6556","JX911112","Oxyura","ferruginea","316",-34.84246,-69.91787,"genomic DNA",NA,"Aves","Vertebrata"
"6557","JX911031","Oxyura","ferruginea","308",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6558","JX910958","Oxyura","ferruginea","1191",-10.7124,-76.2374,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6559","JX911157","Oxyura","ferruginea","676",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6560","JX911065","Oxyura","ferruginea","345",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6561","JX911192","Oxyura","ferruginea","1040",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6562","JX911124","Oxyura","ferruginea","316",-16.26934,-68.85123,"genomic DNA",NA,"Aves","Vertebrata"
"6563","JX911075","Oxyura","ferruginea","345",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6564","JX910983","Oxyura","ferruginea","396",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6565","JX911019","Oxyura","ferruginea","308",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6566","JX911158","Oxyura","ferruginea","676",-8.14127,-77.97715,"genomic DNA",NA,"Aves","Vertebrata"
"6567","JX911113","Oxyura","ferruginea","316",-34.84193,-69.91934,"genomic DNA",NA,"Aves","Vertebrata"
"6568","JX911066","Oxyura","ferruginea","345",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6569","JX910959","Oxyura","ferruginea","1191",-11.2041,-76.8915,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6570","JX911032","Oxyura","ferruginea","308",-8.14127,-77.97715,"genomic DNA",NA,"Aves","Vertebrata"
"6571","JX911125","Oxyura","ferruginea","316",-16.1922,-68.81144,"genomic DNA",NA,"Aves","Vertebrata"
"6572","JX911076","Oxyura","ferruginea","345",-8.14127,-77.97715,"genomic DNA",NA,"Aves","Vertebrata"
"6573","JX910984","Oxyura","ferruginea","396",-8.14127,-77.97715,"genomic DNA",NA,"Aves","Vertebrata"
"6574","JX911183","Oxyura","ferruginea","1040",-40.2125,-70.6494,"genomic DNA",NA,"Aves","Vertebrata"
"6575","JX911114","Oxyura","ferruginea","316",-16.3506,-68.63,"genomic DNA",NA,"Aves","Vertebrata"
"6576","JX910960","Oxyura","ferruginea","1191",-11.1716,-77.5916,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6577","JX911033","Oxyura","ferruginea","308",-11.1904,-77.5899,"genomic DNA",NA,"Aves","Vertebrata"
"6578","JX911126","Oxyura","ferruginea","316",-16.1922,-68.81144,"genomic DNA",NA,"Aves","Vertebrata"
"6579","JX910985","Oxyura","ferruginea","396",-11.1904,-77.5899,"genomic DNA",NA,"Aves","Vertebrata"
"6580","JX911077","Oxyura","ferruginea","345",-10.7124,-76.2374,"genomic DNA",NA,"Aves","Vertebrata"
"6581","JX911184","Oxyura","ferruginea","1040",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6582","JX911115","Oxyura","ferruginea","316",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6583","JX910961","Oxyura","ferruginea","1191",-16.26934,-68.85123,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6584","JX911034","Oxyura","ferruginea","308",-10.7124,-76.2374,"genomic DNA",NA,"Aves","Vertebrata"
"6585","JX911151","Oxyura","ferruginea","676",-40.2125,-70.6494,"genomic DNA",NA,"Aves","Vertebrata"
"6586","JX910986","Oxyura","ferruginea","396",-10.7124,-76.2374,"genomic DNA",NA,"Aves","Vertebrata"
"6587","JX911078","Oxyura","ferruginea","345",-11.2041,-76.8915,"genomic DNA",NA,"Aves","Vertebrata"
"6588","JX911022","Oxyura","ferruginea","308",-34.84246,-69.91787,"genomic DNA",NA,"Aves","Vertebrata"
"6589","JX911185","Oxyura","ferruginea","1040",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6590","JX911116","Oxyura","ferruginea","316",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6591","JX911069","Oxyura","ferruginea","345",-34.84246,-69.91787,"genomic DNA",NA,"Aves","Vertebrata"
"6592","JX910962","Oxyura","ferruginea","1191",-16.1922,-68.81144,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6593","JX911035","Oxyura","ferruginea","308",-11.2041,-76.8915,"genomic DNA",NA,"Aves","Vertebrata"
"6594","JX911152","Oxyura","ferruginea","676",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6595","JX910987","Oxyura","ferruginea","396",-11.2041,-76.8915,"genomic DNA",NA,"Aves","Vertebrata"
"6596","JX911117","Oxyura","ferruginea","316",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6597","JX911023","Oxyura","ferruginea","308",-34.84193,-69.91934,"genomic DNA",NA,"Aves","Vertebrata"
"6598","JX911079","Oxyura","ferruginea","345",-11.1716,-77.5916,"genomic DNA",NA,"Aves","Vertebrata"
"6599","JX911070","Oxyura","ferruginea","345",-34.84193,-69.91934,"genomic DNA",NA,"Aves","Vertebrata"
"6600","JX910951","Oxyura","ferruginea","1191",-34.84246,-69.91787,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6601","JX910963","Oxyura","ferruginea","1191",-16.1922,-68.81144,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6602","JX911080","Oxyura","ferruginea","345",-16.26934,-68.85123,"genomic DNA",NA,"Aves","Vertebrata"
"6603","JX910988","Oxyura","ferruginea","396",-11.1716,-77.5916,"genomic DNA",NA,"Aves","Vertebrata"
"6604","JX911118","Oxyura","ferruginea","316",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6605","JX911153","Oxyura","ferruginea","676",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6606","JX911036","Oxyura","ferruginea","308",-11.1716,-77.5916,"genomic DNA",NA,"Aves","Vertebrata"
"6607","JX911024","Oxyura","ferruginea","308",-16.3506,-68.63,"genomic DNA",NA,"Aves","Vertebrata"
"6608","JX911071","Oxyura","ferruginea","345",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6609","JX910952","Oxyura","ferruginea","1191",-34.84193,-69.91934,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6610","JX911107","Oxyura","ferruginea","316",-40.2125,-70.6494,"genomic DNA",NA,"Aves","Vertebrata"
"6611","JX910972","Oxyura","ferruginea","396",-40.2125,-70.6494,"genomic DNA",NA,"Aves","Vertebrata"
"6612","JX911119","Oxyura","ferruginea","316",-8.14127,-77.97715,"genomic DNA",NA,"Aves","Vertebrata"
"6613","JX910989","Oxyura","ferruginea","396",-16.26934,-68.85123,"genomic DNA",NA,"Aves","Vertebrata"
"6614","JX911154","Oxyura","ferruginea","676",-34.84193,-69.91934,"genomic DNA",NA,"Aves","Vertebrata"
"6615","JX911037","Oxyura","ferruginea","308",-16.26934,-68.85123,"genomic DNA",NA,"Aves","Vertebrata"
"6616","JX911025","Oxyura","ferruginea","308",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6617","JX911072","Oxyura","ferruginea","345",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6618","JX911188","Oxyura","ferruginea","1040",-34.84246,-69.91787,"genomic DNA",NA,"Aves","Vertebrata"
"6619","JX911108","Oxyura","ferruginea","316",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6620","JX910973","Oxyura","ferruginea","396",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6621","JX911120","Oxyura","ferruginea","316",-11.1904,-77.5899,"genomic DNA",NA,"Aves","Vertebrata"
"6622","JX911155","Oxyura","ferruginea","676",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6623","JX911026","Oxyura","ferruginea","308",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6624","JX911038","Oxyura","ferruginea","308",-16.1922,-68.81144,"genomic DNA",NA,"Aves","Vertebrata"
"6625","JX911189","Oxyura","ferruginea","1040",-34.84193,-69.91934,"genomic DNA",NA,"Aves","Vertebrata"
"6626","JX911073","Oxyura","ferruginea","345",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6627","JX911109","Oxyura","ferruginea","316",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6628","JX910974","Oxyura","ferruginea","396",-39.11974,-71.06097,"genomic DNA",NA,"Aves","Vertebrata"
"6629","JX911121","Oxyura","ferruginea","316",-10.7124,-76.2374,"genomic DNA",NA,"Aves","Vertebrata"
"6630","JX911039","Oxyura","ferruginea","308",-16.1922,-68.81144,"genomic DNA",NA,"Aves","Vertebrata"
"6631","JX911190","Oxyura","ferruginea","1040",-16.3506,-68.63,"genomic DNA",NA,"Aves","Vertebrata"
"6632","JX911202","Oxyura","ferruginea","1040",-11.1716,-77.5916,"genomic DNA",NA,"Aves","Vertebrata"
"6633","JX911193","Oxyura","ferruginea","1040",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6634","JX911203","Oxyura","ferruginea","1040",-16.26934,-68.85123,"genomic DNA",NA,"Aves","Vertebrata"
"6635","JX911194","Oxyura","ferruginea","1040",-16.4644,-68.8914,"genomic DNA",NA,"Aves","Vertebrata"
"6636","JX911204","Oxyura","ferruginea","1040",-16.1922,-68.81144,"genomic DNA",NA,"Aves","Vertebrata"
"6637","JX911195","Oxyura","ferruginea","1040",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6638","JX911205","Oxyura","ferruginea","1040",-16.1922,-68.81144,"genomic DNA",NA,"Aves","Vertebrata"
"6639","JX911196","Oxyura","ferruginea","1040",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6640","JX911227","Oxyura","ferruginea","1567",-34.84193,-69.91934,"genomic DNA",NA,"Aves","Vertebrata"
"6641","JX911197","Oxyura","ferruginea","1040",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6642","JX911228","Oxyura","ferruginea","1567",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6643","JX911198","Oxyura","ferruginea","1040",-8.14127,-77.97715,"genomic DNA",NA,"Aves","Vertebrata"
"6644","JX911229","Oxyura","ferruginea","1567",-10.42583,-76.14036,"genomic DNA",NA,"Aves","Vertebrata"
"6645","JQ175439","Myioborus","miniatus","652",5.267,-60.733,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6646","JQ175443","Myioborus","miniatus","639",5.283,-60.75,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6647","JQ174152","Basileuterus","bivittatus","652",4.965,-59.914,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6648","JQ174164","Basileuterus","rivularis","633",7.367,-60.483,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6649","JQ174166","Basileuterus","rivularis","652",2.2,-59.367,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6650","JQ627235","Basileuterus","culicivorus","585",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6651","JQ627333","Basileuterus","culicivorus","664",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6652","JQ174167","Basileuterus","rivularis","652",5.5,-60.783,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6653","JQ174163","Basileuterus","rivularis","639",5.2,-57.283,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6654","JQ174165","Basileuterus","rivularis","652",5.5,-60.783,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6655","JQ174162","Basileuterus","rivularis","652",8.25,-59.733,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6656","JN801515","Basileuterus","culicivorus","695",-22.035,-42.302,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6657","JN801516","Basileuterus","flaveolus","740",-8.885,-43.455,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6658","JN801517","Basileuterus","fulvicauda","669",-15.205,-59.664,"genomic DNA","mitochondrion","Aves","Vertebrata"
"6659","JN801518","Basileuterus","hypoleucus","693",-21.433,-43.5,"genomic DNA","mitochondrion","Aves","Vertebrata"
