Name and Taxonomic classification,,,,,,Environment,,,,,,Impact - Status- Year & Country of first introduction in Europe,,,,,,,,Pathways of introduction in Europe,,,,,,,,,,,,,,,,,,,,,,
NAME,Kingdom,Phylum,Class,Order,Family,TER,FW,MAR,EST,PAR,NA,IMPACT,STATUS,YEAR OF INTRODUCTION,CATEGORY,COUNTRY,NOTES,CITATION,PARTLY NATIVE,RELEASE: Biocontrol,RELEASE: Game animals,RELEASE: Landscaping-Erosion control,"RELEASE: Pets, Terrarium-Aquarium species",RELEASE: Other,ESCAPE: Cultivation and Livestock,ESCAPE: Aquaculture,ESCAPE: Ornamental planting,ESCAPE: Use of live food-bait,"ESCAPE: Pets, Terrarium-Aquarium species","ESCAPE: Zoos, botanical gardens",CONTAMINANT: Trade of contaminated commodities,CONTAMINANT: Packaging materials,CONTAMINANT: Aquaculture,STOWAWAY: Shipping,STOWAWAY: Aviation,STOWAWAY: Land transport,CORRIDOR: Lessepsian migrants,CORRIDOR: Inland canals,CORRIDOR: Railroads and Highways,OTHER,UNKNOWN,COMMENTS
Echidnophaga murina,Animalia,Arthropoda,Insecta,Siphonaptera,Pulicidae,1,0,0,0,1,0,,A,1989,3,Spain (Canary Islands),,Beenen R (2006) Translocation in leaf beetles (Coleoptera: Chrysomelidae). Bonner zoologische Beiträge 54 [2005]: 179–199.,1,,,,,,,,,,,,,,,,,,,,,p,,
Echinochloa colona,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,1,0,0,0,0,0,HI,A,1924,3,Sweden,,,,,,,,,,,,,,,,,,,,p,,,,,,
Echinochloa crus-galli,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,1,0,0,0,0,0,HI,A,400,3,Denmark,pre 400,,1,,,,,,,,,,,,,,,,,,,,,,p,
Echinochloa stagnina,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,1,1,0,0,0,0,,A,1961,2,Sweden ,,Karlsson (2003) Svensk botanisk tidskrift 97: 179-197,,,,,,,,,,,,,,,,,,,,,,,p,
Echinococcus granulosus,Animalia,Arthropoda,Cestoda,Cyclophyllidea,Taeniidae,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,
Echinococcus multilocularis,Animalia,Arthropoda,Cestoda,Cyclophyllidea,Taeniidae,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,
Echinocystis lobata,Plantae,Magnoliophyta,Magnoliopsida,Violales,Cucurbitaceae,1,0,0,0,0,0,HI,A,1800,3,Austria,,,,,,,,,,,p,,,,,,,,,,,,,,,
Echinodorus cordifolius,Plantae,Magnoliophyta,Liliopsida,Alismatales,Alismataceae,0,1,0,0,0,0,,Q,,,Austria,,,,,,,,,,,,,,,,,,,,,,,,,p,
Echinogammarus berilloni,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,0,1,0,0,0,0,,A,1924,2,Germany ,,Gollasch and Nehring (2006) Aquatic Invasions 1: 245-269,1,,,,,,,,,,,,,,,,,,,p,,,,
Echinogammarus trichiatus,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,0,1,0,0,0,0,,A,1996,2,Germany ,,Weinzierl et al.  (1997) Lauterbornia 31: 31-32,1,,,,,,,,,,,,,,,,,,,p,,,,
Echinostoma ilocanum,Animalia,Platyhelminthes,Trematoda,Echinostomida,Echinostomatidae,1,1,0,0,1,0,,Q,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,p,
Echinostoma lindoense,Animalia,Platyhelminthes,Trematoda,Echinostomida,Echinostomatidae,1,1,0,0,1,0,,Q,1991,3,Germany,<1991,,,,,,,,,,,,,,,,,,,,,,,,p,
Echinothrips americanus,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,1,0,0,0,0,0,,A,1996,2,France,,Reynaud (1998) Phytoma 507: 36-38,,,,,,,,,,,,,p,,,,,,,,,,,
Echium plantagineum,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Boraginaceae,1,0,0,0,0,0,HI,A,1500,3,Austria,,,1,,,,,,,,p,,,,,,,,,,,,,,,
Echmepteryx madagascariensis,Animalia,Arthropoda,Insecta,Psocoptera,Lepidopsocidae,1,0,0,0,0,0,,A,1938,2,Germany,,Eichler (1938) Zool. Anz. 122: 330-333,,,,,,,,,,,,,,,,p,,,,,,,,
Eclipta prostrata,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,1,1,0,0,0,0,HI,A,1500,3,Italy,,,,,,,p,,,,,,,,,,,,,,,,,,,
Ecteinascidia styeloides,Animalia,Chordata,Ascidiacea,Phlebobranchia,Perophoridae,0,0,1,0,0,0,,A,1987,3,France,,"Moniiot, C. & Monniot, F., 1987. Discussion sur la valeur de deux genres d'ascidies a propos d'especes nouvelles en Mediterranee. Ann. Inst. oceanogr. Paris, 63 (2): 119-130.",,,,,,,,,,,,,,,,p,,,,,,,,
Ecteinascidia thurstoni,Animalia,Chordata,Ascidiacea,Phlebobranchia,Perophoridae,0,0,1,0,0,0,,A,1999,2,Israel,,"Shenkar, N. & Loya, Y., 2009. Non-indigenous ascidians (Chordata: Tunicata) along the Mediterranean coast of Israel. Marine Biodiversity Records, page 1 of 7. 2009 doi: 10.1017/S1755267209990753; Vol. 2; e166; 2009 Published online",,,,,,,,,,,,,,,,,,,p,,,,,
Ecteinascidia turbinata,Animalia,Chordata,Ascidiacea,Phlebobranchia,Perophoridae,0,0,1,0,0,0,,C,1922,3,Spain,,"Rodriguez, 1922",,,,,,,,,,,,,,,,p,,,,,,,,
Ectocarpus siliculosus,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,0,0,1,0,0,0,,C,1899,3,Turkey,,"Fritsch, K., 1899. Beitrag zur flora von Constantinopel. I. Kryptogamen. Denkschriften der kaiserlichen Akademie der Wissenschaften zu Wien Math, 68: 219–250.",,,,,p,,,,,,,,,,p,p,,,,,,,,
Ectoedemia heringella,Animalia,Arthropoda,Insecta,Lepidoptera,Nepticulidae,1,0,0,0,0,0,,A,2003,2,UK,,Lopez- Vaamonde et al (2010) Biorisk 4: 603-668,1,,,,,,,,,,,,P,,,,,,,,,,,
Ectopsocopsis cryptomeriae,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1955,2,Russia,,Danks (1955)  Entomologicheskoe Obozrenie 34: 180-184.,,,,,,,,,,,,,,,,p,,,,,,,,
Ectopsocus axillaris,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1991,2,Ireland,,Schneider (2010) BioRisk 4: 793- 805,,,,,,,,,,,,,,,,p,,,,,,,,
Ectopsocus briggsi,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,C,1899,2,UK,,McLachlan (1899) Entomol. Month. Mag. 35: 277-278.,,,,,,,,,,,,,,,,p,,,,,,,,
Ectopsocus maindroni,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1954,3,UK,,Broadhead (1954) Entomol. Month. Mag. 90: 10-16.,,,,,,,,,,,,,,,,p,,,,,,,,
Ectopsocus meridionalis,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1904,2,Italy,,Ribaga (1904) Redia 1: 294-298.,,,,,,,,,,,,,,,,p,,,,,,,,
Ectopsocus pumilis,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1984,2,Portugal (Azores),,Schneider (2010) BioRisk 4: 793- 805,,,,,,,,,,,,,,,,,,,,,,,p,
Ectopsocus richardsi,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1929,2,UK,,Pearman J. V. (1929)  Entomol. Month. Mag.  65: 104-109.,,,,,,,,,,,,,,,,p,,,,,,,,
Ectopsocus rileyae,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1992,2,Portugal (Madeira),,Schneider (2010) BioRisk 4: 793- 805,,,,,,,,,,,,,,,,,,,,,,,p,
Ectopsocus strauchi,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1906,2,Spain (Canary Islands),,Enderlein (1906) Stettiner Entomol. Zeitung 67: 306-316.,,,,,,,,,,,,,,,,,,,,,,,p,
Ectopsocus titschacki,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1928,3,Germany,,Titschack (1930) Verhandl. Vereins Naturwiss. Heimatf. 21: 104-127.,,,,,,,,,,,,,,,,p,,,,,,,,
Ectopsocus vachoni,Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,1,0,0,0,0,0,,A,1954,3,UK,,Lienhard C (1998) Psocoptères euro-méditerranéens Faune de France 83. Paris : Fédération Française des Sociétés de Sciences Naturelles. 517 pp.,1,,,,,,,,,,,,,,,,,,,,,,P,
Edaphus beszedesi,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,1,0,0,0,0,0,,A,,,,,,1,,,,,,,,,,,,p,,,,,,,,,,,
Edentostomina cultrata,Chromista,Foraminifera,Polythalamea,Miliolida,Ophthalmidiidae,0,0,1,0,0,0,,A,1993,3,Israel,,"Yanko, V., Av Ar, N., Sanvoisin, R., Spezzaferri, S., Mer , E. & Basso, D., 1993. Foraminiferal study: Taxonomy, distribution, density and diversity. Benthic foraminifera as indicator of heavy metal pollution-A new kind of biological monitoring for the Mediterranean, Task 9.",,,,,,,,,,,,,,,,,,,p,,,,,
Edovum puttleri,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,1,0,0,0,1,0,,A,1985,1,Italy,,Laudonia & Viggiani (1986a) Boll. Lab. Entomol. Agr. Filippo Silvestri 43: 97-103.,,p,,,,,,,,,,,,,,,,,,,,,,
Edwardsiana platanicola,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,1,0,0,0,0,0,,C,1961,3,Italy,,"Vidano C, 1961, Descrizione di una nuova specie di Typhlocyba (subg. Edwardsiana) dei Platanus., Mem. Soc. Entomol. Ital., 40, 44-50",1,,,,,,,,,,,,,,,,,,,,,,p,
Edwardsiella lineata,Animalia,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,0,0,1,0,0,0,,A,2007,2,Sweden,2007/2012,"Selander, H., Johansson, K., Lundberg, C. & Falkmer, T., 2010. The Nordic stroke driver screening assessment as predictor for the outcome of an on-road test. Scand. J. Occup. Ther. 17 (1), 10-17.",,,,,,,,,,,,,,,p,p,,,,,,,,
Egeria densa,Plantae,Magnoliophyta,Liliopsida,Alismatales,Hydrocharitaceae,0,1,0,0,0,0,HI,A,1900,2,Netherlands,,Cook and Urmi-König (1984) Aquat Bot 19: 73-96,,,,,p,,,,,,,,,,,,,,,,,,,
Egretta gularis,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,1,0,0,0,0,0,,Q,1970,2,Italy,,"Andreotti A, Baccetti N, Perfetti A, Besa M, Genovesi P And Guberti V (2001). Alien Mammals And Birds In Italy: Survey, Impacts On Biodiversity And Management Guidelines. Istituto Nazionale Per La Fuana Selvatica, Ozzano Dell' Emilia (In Italian), Bologna, Italy.",,,,,,,,,,,,p,,,,,,,,,,,,
Ehrharta calycina,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,1,0,0,0,0,0,HI,A,1983,3,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,p,
Ehrharta stipoides,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,1,0,0,0,0,0,HI,A,1959,3,UK,,,,,,,,,,,,,,,p,,,,,,,,,,,
Eichhornia crassipes,Plantae,Magnoliophyta,Liliopsida,Liliales,Pontederiaceae,0,1,0,0,0,0,HI,A,1917,2,Netherlands,,Mennema (1975) Gorteria 7(11): 181-182,,,,,p,,,,,,p,,,,,,,,,,,,,
Eidmannella pallida,Animalia,Arthropoda,Arachnida,Araneae,Nesticidae,1,0,0,0,0,0,,C,,,Spain (Canary Islands),,,1,,,,,,,,,,,,p,,,,p,,,,,,,
Eilema caniola,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,1,0,0,0,0,0,,A,1859,3,Belgium,,Lopez- Vaamonde et al (2010) Biorisk 4: 603-668,1,,,,,,,,,,,,,,,,,,,,,,P,
Elachertus cidariae,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,1,0,0,0,1,0,,A,1962,2,Serbia,,Tadic (1964) Entomophaga 8:245-252,,p,,,,,,,,,,,,,,,,,,,,,,
Elachista sp.,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,0,0,1,0,0,0,,A,1993,2,Netherlands,,"Stegenga, H., 2000. ""Elachista flaccida"" in Nederland; een Japanse, geen Europese soort - Het Zeepaard 60: 136-140.",,,,,,,,,,,,,,,,,,,,,,,,
Elaeagnus angustifolia,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Elaeagnaceae,1,0,0,0,0,0,HI,A,1500,3,Austria,,,,,,p,,,,,p,,,,,,,,,,,,,,,
Elaeagnus pungens,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Elaeagnaceae,1,0,0,0,0,0,HI,A,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,
Elaeagnus umbellata,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Elaeagnaceae,1,0,0,0,0,0,HI,A,,,,,,,,,p,,s,,,p,,,,,,,,,,,,,,,
Elamena mathoei,Animalia,Arthropoda,Malacostraca,Decapoda,Hymenosomatidae,0,0,1,0,0,0,,A,2011,2,Tunisia,,"Zaouali, J., 2011. Native biota colonization by its lessepsian counterpart (Gulf of Tunis, north Tunisia. 7th International Conference on Marine Bioinvasions, Barcelona.",,,,,,,,,,,,,,,,p,,,,,,,,
Elanus caeruleus,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,1,0,0,0,0,0,,Q,1989,2,Germany,,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002),,,,,,,,,,,,p,,,,,,,,,,,,
Elaphostrongylus cervi,Animalia,Nematoda,Secernentea,Strongylida,Protostrongylidae,1,0,0,0,1,0,,C,1931,2,UK,United Kingdom (Scotland),Cameron T.W.M. (1931) Journal of Helminthology 9: 213-216. ,,,,,,,,,,,,,,,,,,,,,,,p,
Elasmopus pectenicrus,Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,0,0,1,0,0,0,,A,1924,2,Egypt,,"Schellenberg, A., 1928. Report on Amphipoda. Zoological results of the Cambridge Expedition to the Suez Canal, 1924. Transactions of the Zoological Society of London 22, 633-692.",,,,,,,,,,,,,,,,,,,p,,,,,
Elasmotropis testacea,Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,1,0,0,0,0,0,,A,1844,2,Czech Republic,< 1844,"Rabitsch W, 2010, True Bugs (Hemiptera, Heteroptera)., BioRisk, 4, 407-433",1,,,,,,,,,,,,p,,,,,,,,,,,
Elates ransonnettii,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,0,0,1,0,0,0,,A,2005,2,Italy,,"Mastrototaro, F., Carlucci, R., Capezzuto, F. & Sion, L., 2007. First record of dwarf flathead Elates ransonnetii (Platycephalidae) in the Mediterranean Sea (North- Western Ionian Sea). Cybium 31(3): 393-394.",,,,,,,,,,,,,,,,p,,,,,,,,
Elatine alsinastrum,Plantae,Magnoliophyta,Magnoliopsida,Theales,Elatinaceae,1,1,0,0,0,0,,Q,1830,3,Denmark,before 1830,http://www.nobanis.org/speciesInfo.asp?taxaID=7782,1,,,,,,p,,,,,,,,,,,,,,,,,
Elatine ambigua,Plantae,Magnoliophyta,Magnoliopsida,Theales,Elatinaceae,1,1,0,0,0,0,,Q,1905,2,Romania,,http://www.europe-aliens.org/speciesFactsheet.do?speciesId=10119#,,,,,,,p,,,,,,,,,,,,,,,,,
Elatine hungarica,Plantae,Magnoliophyta,Magnoliopsida,Theales,Elatinaceae,1,1,0,0,0,0,,A,1500,3,Ukraine,,http://www.europe-aliens.org/speciesFactsheet.do?speciesId=10121#,1,,,,,,,,,,,,,,,,,,,,,,p,
Elatine macropoda,Plantae,Magnoliophyta,Magnoliopsida,Theales,Elatinaceae,1,1,0,0,0,0,,C,,,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,p,
Electra tenella,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,0,0,1,0,0,0,,A,1990,2,Italy,,"Rosso, A., 1994. Segnalazione di Electra tenella (Hincks) (Bryozoa) lungo le coste sud-orientali della Sicilia. Boll. Acc. Gioenia Sci. Nat., 27, 346: 241-251.",,,,,,,,,,,,,,,,p,,,,,,,,
Electroma vexillum,Animalia,Mollusca,Bivalvia,Pterioida,Pteriidae,0,0,1,0,0,0,,A,2002,2,Turkey,,"Cevik, C., Dogan, A., Onen, M. & Zenetos, A., 2005. First record of the Indo-Pacific species Electroma vexillum (Mollusca: Bivalvia: Pterioida) in the eastern Mediterranean. Journal of the Marine Biological Association of the United Kingdom, 2, Biodiver",,,,,,,,,,,,,,,,p,,,,,,,,
Eleocharis atropurpurea,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,1,1,0,0,0,0,,Q,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,p,
Eleocharis flavescens,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,1,1,0,0,0,0,,A,1978,2,Italy ,,Verloove and Soldano (2011) Webbia 66(1): 69-75,,,,,,,,,,,,,,,,,,,,,,,p,
Eleocharis obtusa,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,1,1,0,0,0,0,,A,2005,2,Italy,,Verloove (2010) Webbia 65(1): 133-140,,,,,,,,,,,,,,,,,,,,,,,p,
Eleocharis parvula,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,1,1,0,0,0,0,,A,2002,2,Greece,,,1,,,,,,,,,,,,,,,,,,,,,,p,
Elephantinosoma chnumi,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,1,0,0,0,0,0,,A,2003,3,Malta,,Gatt & Ebejer (2003) Studia Dipterol 10: 199–214.,,,,,,,,,,,,,,,,,,,,,,,p,
Eleusine indica,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,1,0,0,0,0,0,HI,A,1908,3,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,p,
Eleutherodactylus martinicensis,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,1,1,0,0,0,0,,Q,1952,2,Germany,,Nobanis database: http://www.nobanis.org/speciesInfo.asp?taxaID=5807,,,,,p,,,,,,,,,,,,,,,,,,,
Eliomys quercinus,Animalia,Chordata,Mammalia,Rodentia,Myoxidae,1,0,0,0,0,0,,A,-6000,2,Italy (Sardinia),,Vigne JD (1992) Zooarchaeology and the biogeographical history of the mammals of Corsica and Sardinia since the last ice age. Mammal Review 22:87-96,1,,,,,,,,,,,,,,,p,,,,,,,,
Elodea callitrichoides,Plantae,Magnoliophyta,Liliopsida,Alismatales,Hydrocharitaceae,1,1,0,0,0,0,HI,A,1836,2,Ireland,,,,,,,p,,,,p,,,p,,,,,,,,,,,,
Elodea canadensis,Plantae,Magnoliophyta,Liliopsida,Alismatales,Hydrocharitaceae,0,1,0,0,0,0,HI,A,1836,2,Ireland,,"Josefsson M (2011) NOBANIS - Invasive Species Fact Sheet – Elodea canadensis, Elodea nuttallii and Elodea callitrichoides. From: Online Database of the European Network on Invasive Alien Species – NOBANIS. www.nobanis.org Date of access 26/04/2013. ",,,,,p,,,,p,,,,,,,,,,,,,,,
Elodea nuttallii,Plantae,Magnoliophyta,Liliopsida,Alismatales,Hydrocharitaceae,0,1,0,0,0,0,HI,A,1914,2,UK,,"Josefsson M (2011) NOBANIS - Invasive Species Fact Sheet – Elodea canadensis, Elodea nuttallii and Elodea callitrichoides. From: Online Database of the European Network on Invasive Alien Species – NOBANIS. www.nobanis.org Date of access 26/04/2013. ",,,,,p,,,,p,,,,,,,,,,,,,,,
Elophila difflualis,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,1,0,0,0,0,0,,A,1978,2,Denmark,,Buhl et al. (1982) Entomol. Meddel. 49: 49-57.,,,,,,,,,,,,,p,,,,,,,,,,,
Elophila manilensis,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,1,0,0,0,0,0,,A,1978,2,Denmark,,Buhl et al. (1982) Entomol. Meddel. 49: 49-57.,,,,,,,,,,,,,p,,,,,,,,,,,
Elophila melagynalis,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,1,0,0,0,0,0,,A,1978,2,UK,,Agassiz (1978) Entomol. Gaz. 29: 117-127,,,,,,,,,,,,,p,,,,,,,,,,,
Elophila obliteralis,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,1,0,0,0,0,0,,A,1968,3,UK,,Lopez- Vaamonde et al (2010) Biorisk 4: 603-668,,,,,,,,,,,,,p,,,,,,,,,,,
Elphidium charlottense,Chromista,Foraminifera,Polythalamea,Rotaliida,Elphidiidae,0,0,1,0,0,0,,A,2002,2,Turkey,,"Meric, E., Avsar, N. & Yokes, B., 2007. Alien foraminifers along the Aegean and southwestern coasts of Turkey. Rapports de la Commission Internationale pour l’Exploration Scientifique de la Mer Mediterranee, 38: 540.",,,,,,,,,,,,,,,,p,,,,,,,,
Elphidium striatopunctatum,Chromista,Foraminifera,Polythalamea,Rotaliida,Elphidiidae,0,0,1,0,0,0,,A,1911,3,Croatia,,"Schaudinn, F., 1911. Notizen uber die Fauna bei Rovigno: I. Verzeichnis von Foraminiferen aus Rovigno. Zoologischer Anzeiger, 37: 254-256.",,,,,,,,,,,,,,,,,,,p,,,,,
Elsinoë ampelina,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,1,0,0,0,1,0,,C,1883,2,France,,Engelman Geo. on 1883,,,,,,,,,,,,,p,,,,,,,,,,,
Elsinoe fawcettii,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,1,0,0,0,1,0,,A,1986,3,Spain (Canary Islands),,CAB International,,,,,,,,,,,,,p,,,,,,,,,,,
Eluma caelata,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,1,0,0,0,0,0,,A,1887,3,Spain (Canary Islands),,"Dollfus, A. (1889a): Isopodes terrestres recueillis aux Acores en 1887,1888 et 1889 par MM. DR. TH. BARROIS et le Lieutenant CHAVES. – Revue biologique du Nord de la France 1: 306-308, 391-392; Lille.",1,,,,,,,,,,,,,,,,,,,,,,p,
Elymus repens,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,1,0,0,0,0,0,HI,A,,,,,,1,,,,,,,,,,,,,,,,,,,,,,p,
Elysia grandifolia,Animalia,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,0,0,1,0,0,0,,A,2001,2,Turkey,,"Yokes, B. & Rudman, W.B., 2004. Lessepsian opisthobranchs from southwestern coast of Turkey; five new records for Mediterranean. Rapport de la Commission Internationale Exploration de la Mer Mediterranee, 37: 557. ",,,,,,,,,,,,,,,,p,,,,,,,,
Elysia tomentosa,Animalia,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,0,0,1,0,0,0,,A,2001,2,Turkey,,"Yokes, B. & Rudman, W.B., 2004. Lessepsian opisthobranchs from southwestern coast of Turkey; five new records for Mediterranean. Rapport de la Commission Internationale Exploration de la Mer Mediterranee, 37: 557. ",,,,,,,,,,,,,,,,p,,,,,,,,
Emberiza bruniceps,Animalia,Chordata,Aves,Passeriformes,Emberizidae,1,0,0,0,0,0,,Q,1990,2,Germany,,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002),,,,,,,,,,,p, ,,,,,,,,,,,,
Emberiza cioides,Animalia,Chordata,Aves,Passeriformes,Emberizidae,1,0,0,0,0,0,,Q,1996,2,Germany,,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002),,,,,,,,,,,p,,,,,,,,,,,,,
Emberiza elegans,Animalia,Chordata,Aves,Passeriformes,Emberizidae,1,0,0,0,0,0,,Q,1993,2,Germany,,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002),,,,,,,,,,,p,,,,,,,,,,,,,
Emberiza tahapisi,Animalia,Chordata,Aves,Passeriformes,Emberizidae,1,0,0,0,0,0,,Q,1994,2,Germany,,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002),,,,,,,,,,,p,,,,,,,,,,,,,
Embidopsocus minor,Animalia,Arthropoda,Insecta,Psocoptera,Liposcelididae,1,0,0,0,0,0,,A,1931,2,UK,,Pearman J. V. (1931) Entomol. Month. Mag.  67: 95-98.,,,,,,,,,,,,,,,,p,,,,,,,,
Emex australis,Plantae,Magnoliophyta,Magnoliopsida,Polygonales,Polygonaceae,1,0,0,0,0,0,HI,A,1907,2,Belgium,between 1900-1907,,,,,,,,,,,,,,p,,,,,,,,,,,
Emex spinosa,Plantae,Magnoliophyta,Magnoliopsida,Polygonales,Polygonaceae,1,0,0,0,0,0,HI,A,,,,,,1,,,,,,,,,,,,,,,,,,,,,,p,
Emilia sonchifolia,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,1,0,0,0,0,0,HI,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,
Emmelina monodactyla,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,1,0,0,0,0,0,,A,2005,3,Portugal (Madeira),,Lopez- Vaamonde et al (2010) Biorisk 4: 603-668,1,,,,,,,,,,,,p,,,,,,,,,,,
Emmericia patula,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,0,1,0,0,0,0,,A,1960,2,Germany,,http://www.nobanis.org/NationalInfo.asp?countryID=DE&taxaID=5695,1,,,,,,,,,,,,,,,,,,,,,,p,
Empicoris rubromaculatus,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,1,0,0,0,0,0,,C,,,,,,1,,,,,,,,,,,,p,,,,,,,,,,,
Empoasca fabalis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,1,0,0,0,0,0,,A,1999,2,Spain (Canary Islands),,"Lorenzo JM, Mendoza A, 2000, Presence of the American species Empoasca fabali De Long, 1930 (Hemiptera, Cicadellidae) in the Canarian island of La Palma., Boln. Asoc. esp. Ent., 24, 267",1,,,,,,,,,,,,p,,,,,,,,,,,
Empoasca punjabensis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,1,0,0,0,0,0,,A,,,,,,1,,,,,,,,,,,,p,,,,,,,,,,,
Emys orbicularis,Animalia,Chordata,Reptilia,Testudines,Emydidae,1,1,0,0,0,0,,A,1929,2,UK,,"Bruggen (1985) Monograph of the genus Aponogeton (Aponogetonaceae). Bibliotheca Botanica 137. E. Schweizerbartsche Verlagsbuchhandlung, Stuttgart",1,,,,p,,,,,,,,,,,,,,,,,,,
Encarsia acaudaleyrodis,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,1,0,0,0,1,0,,A,1996,2,Spain (Canary Islands),,"Hernández-Suárez E, Carnero A, Aguiar A, Prinsloo G, LaSalle J, et al. (2003) Parasitoids of whiteflies (Hymenoptera: Aphelinidae, Eulophidae, Platygastridae; Hemiptera: Aleyrodidae) from the Macaronesian archipelagos of the Canary Islands, Madeira and the Azores. Systematics and Biodiversity 1: 55-108.",,,,,,,,,,,,,,,,,,,,,,,p,
Encarsia aurantii,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,1,0,0,0,1,0,,A,1941,2,Italy,,Rasplus et al. (2010) BioRisk 4: 669–776,,p,,,,,,,,,,,,,,,,,,,,,,
